Fecha;Hogar1;Hogar2;Hogar3;;;
ene-06;1.608,10;2.036,47;2.214,41;;;
feb-06;1.603,08;2.030,13;2.207,51;;;
mar-06;1.608,47;2.036,91;2.214,92;;;
abr-06;1.608,61;2.037,17;2.215,18;;;
may-06;1.612,02;2.041,42;2.219,83;;;
jun-06;1.588,86;2.012,13;2.187,94;;;
jul-06;1.594,57;2.019,39;2.195,82;;;
ago-06;1.596,48;2.021,74;2.198,42;;;
sep-06;1.601,28;2.027,86;2.205,06;;;
oct-06;1.602,64;2.029,58;2.206,89;;;
nov-06;1.647,62;2.086,51;2.268,84;;;
dic-06;1.659,71;2.101,83;2.285,48;;;
ene-07;1.703,34;2.157,11;2.345,60;;;
feb-07;1.695,75;2.147,47;2.335,12;;;
mar-07;1.700,92;2.154,07;2.342,27;;;
abr-07;1.721,22;2.179,77;2.370,23;;;
may-07;1.775,37;2.248,28;2.444,76;;;
jun-07;1.844,83;2.336,29;2.540,43;;;
jul-07;1.862,02;2.358,06;2.564,08;;;
ago-07;2.032,84;2.574,38;2.799,30;;;
sep-07;2.143,59;2.714,63;2.951,83;;;
oct-07;2.299,30;2.911,84;3.166,28;;;
nov-07;2.342,41;2.966,42;3.225,62;;;
dic-07;2.367,45;2.998,13;3.260,12;;;
ene-08;2.364,77;2.994,76;3.256,41;;;
feb-08;2.446,81;3.098,61;3.370,09;;;
mar-08;2.518,26;3.189,11;3.467,78;;;
abr-08;2.606,09;3.300,33;3.588,71;;;
may-08;2.601,17;3.294,10;3.581,96;;;
jun-08;2.628,63;3.328,89;3.619,76;;;
jul-08;2.675,59;3.388,34;3.684,42;;;
ago-08;2.728,26;3.455,06;3.756,96;;;
sep-08;2.800,37;3.546,37;3.856,23;;;
oct-08;2.880,32;3.647,62;3.966,35;;;
nov-08;2.919,68;3.697,47;4.020,53;;;
dic-08;2.916,39;3.693,29;4.015,98;;;
ene-09;2.942,23;3.726,03;4.051,58;;;
feb-09;2.938,75;3.721,59;4.046,77;;;
mar-09;2.992,93;3.790,25;4.121,41;;;
abr-09;2.976,47;3.769,39;4.098,75;;;
may-09;2.948,83;3.734,38;4.060,70;;;
jun-09;2.941,86;3.725,55;4.051,10;;;
jul-09;2.955,83;3.743,22;4.070,31;;;
ago-09;3.047,47;3.859,31;4.196,52;;;
sep-09;3.149,93;3.989,04;4.337,57;;;
oct-09;3.273,72;4.145,82;4.508,06;;;
nov-09;3.301,43;4.180,90;4.546,22;;;
dic-09;3.365,21;4.261,66;4.634,05;;;
ene-10;3.439,88;4.356,23;4.736,88;;;
feb-10;3.484,09;4.412,21;4.797,76;;;
mar-10;3.631,05;4.598,35;5.000,15;;;
abr-10;3.702,86;4.689,26;5.099,01;;;
may-10;3.719,61;4.710,48;5.122,10;;;
jun-10;3.719,43;4.710,23;5.121,81;;;
jul-10;3.785,04;4.793,37;5.212,13;;;
ago-10;3.802,31;4.815,21;5.235,96;;;
sep-10;3.946,74;4.998,13;5.434,86;;;
oct-10;4.061,14;5.143,00;5.592,41;;;
nov-10;4.126,61;5.225,92;5.682,55;;;
dic-10;4.246,22;5.377,38;5.847,25;;;
ene-11;4.400,84;5.573,20;6.060,19;;;
feb-11;4.424,12;5.602,68;6.092,23;;;
mar-11;4.408,47;5.582,84;6.070,67;;;
abr-11;4.560,15;5.774,96;6.279,55;;;
may-11;4.679,11;5.925,59;6.443,37;;;
jun-11;4.932,51;6.246,48;6.792,30;;;
jul-11;5.089,85;6.445,75;7.008,94;;;
ago-11;5.192,16;6.575,33;7.149,85;;;
sep-11;5.462,98;6.918,29;7.522,80;;;
oct-11;5.459,86;6.914,33;7.518,48;;;
nov-11;5.480,43;6.940,40;7.546,81;;;
dic-11;5.624,16;7.122,40;7.744,76;;;
ene-12;5.564,52;7.046,48;7.662,61;;;
feb-12;5.751,10;7.283,14;7.919,54;;;
mar-12;5.788,20;7.330,13;7.970,64;;;
abr-12;6.041,50;7.650,92;8.319,46;;;
may-12;6.084,79;7.705,76;8.379,07;;;
jun-12;6.110,12;7.737,79;8.413,93;;;
jul-12;6.023,44;7.628,04;8.294,57;;;
ago-12;6.307,42;7.987,67;8.685,62;;;
sep-12;6.568,41;8.318,19;9.045,03;;;
oct-12;6.700,79;8.485,83;9.227,31;;;
nov-12;6.809,55;8.623,57;9.377,09;;;
dic-12;6.905,79;8.745,45;9.509,61;;;
ene-13;6.823,15;8.640,79;9.395,81;;;
feb-13;6.993,35;8.856,34;9.630,19;;;
mar-13;7.094,65;8.988,41;9.773,81;;;
abr-13;7.240,66;9.169,53;9.970,75;;;
may-13;7.289,77;9.231,71;10.038,37;;;
